Name,Year,Search_URL
Tim Cook,2014,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Tim Cook,2015,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Tim Cook,2016,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Tim Cook,2017,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Tim Cook,2018,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Tim Cook,2019,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Tim Cook,2014,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Tim Cook,2015,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Tim Cook,2016,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Tim Cook,2017,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Tim Cook,2018,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Tim Cook,2019,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Tim Cook,2015,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Tim Cook,2016,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Tim Cook,2017,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Tim Cook,2018,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Tim Cook,2019,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Tim Cook,2016,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Tim Cook,2017,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Tim Cook,2018,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Tim Cook,2019,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Tim Cook,2017,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Tim Cook,2018,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Tim Cook,2019,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Tim Cook,2018,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Tim Cook,2019,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Tim Cook,2019,"https://www.google.com/search?q=Tim%20Cook%20Apple%20Inc.&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Steve Ballmer,2010,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Steve Ballmer,2011,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Steve Ballmer,2012,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Steve Ballmer,2013,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Steve Ballmer,2014,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Steve Ballmer,2015,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Steve Ballmer,2016,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Steve Ballmer,2017,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Steve Ballmer,2018,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Steve Ballmer,2019,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Steve Ballmer,2011,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Steve Ballmer,2012,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Steve Ballmer,2013,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Steve Ballmer,2014,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Steve Ballmer,2015,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Steve Ballmer,2016,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Steve Ballmer,2017,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Steve Ballmer,2018,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Steve Ballmer,2019,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Steve Ballmer,2012,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Steve Ballmer,2013,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Steve Ballmer,2014,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Steve Ballmer,2015,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Steve Ballmer,2016,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Steve Ballmer,2017,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Steve Ballmer,2018,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Steve Ballmer,2019,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Steve Ballmer,2013,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Steve Ballmer,2014,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Steve Ballmer,2015,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Steve Ballmer,2016,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Steve Ballmer,2017,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Steve Ballmer,2018,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Steve Ballmer,2019,"https://www.google.com/search?q=Steve%20Ballmer%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Satya Nadella,2014,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Satya Nadella,2015,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Satya Nadella,2016,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Satya Nadella,2017,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Satya Nadella,2018,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Satya Nadella,2019,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Satya Nadella,2015,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Satya Nadella,2016,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Satya Nadella,2017,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Satya Nadella,2018,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Satya Nadella,2019,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Satya Nadella,2016,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Satya Nadella,2017,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Satya Nadella,2018,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Satya Nadella,2019,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Satya Nadella,2017,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Satya Nadella,2018,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Satya Nadella,2019,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Satya Nadella,2018,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Satya Nadella,2019,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Satya Nadella,2019,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2010,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2011,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2012,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2013,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2014,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2015,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2016,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2017,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2018,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2019,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2011,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2012,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2013,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2014,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2015,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2016,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2017,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2018,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2019,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2012,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2013,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2014,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2015,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2016,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2017,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2018,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2019,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2013,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2014,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2015,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2016,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2017,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2018,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2019,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2014,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2015,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2016,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2017,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2018,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2019,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2015,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2016,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2017,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2018,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2019,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2016,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
Jensen Huang,2017,"https://www.google.com/search?q=Jensen%20Huang%20NVIDIA%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2010,cd_max:12/31/2019"
